sponsor,effective_date,call_type,operator_tadig,operator_name,country_name,bparty_iso,bparty_prefix,bparty_name,currency,setup_charge,traffic_interval_1,traffic_interval_n,traffic_interval_unit,traffic_charge_1,traffic_charge_n,traffic_charge_unit
TELZ4,2023-11-01,DATA,GBRCN,Virgin Media O2,United Kingdom,,,,GBP,,1024,1024,bytes,0.02001920000000000000,0.02001920000000000000,megabytes
TELZ4,2023-11-01,DATA,GBRHU,Hutchison 3G UK Ltd,United Kingdom,,,,GBP,,1024,1024,bytes,0.00287500000000000000,0.00287500000000000000,megabytes
TELZ4,2023-11-01,DATA,GBRME,EE Limited,United Kingdom,,,,GBP,,1024,1024,bytes,0.00520950000000000000,0.00520950000000000000,megabytes
TELZ4,2023-11-01,DATA,GBROR,EE Limited,United Kingdom,,,,GBP,,1024,1024,bytes,0.00520950000000000000,0.00520950000000000000,megabytes
TELZ4,2023-11-01,DATA,GBRVF,Vodafone UK Ltd.,United Kingdom,,,,GBP,,1024,1024,bytes,0.00126500000000000000,0.00126500000000000000,megabytes
TELZ4,2023-11-01,SMS_MO,GBRCN,Virgin Media O2,United Kingdom,ROW,,,GBP,0.0102143000,,,,,,event
TELZ4,2023-11-01,SMS_MO,GBRHU,Hutchison 3G UK Ltd,United Kingdom,ROW,,,GBP,0.0057500000,,,,,,event
TELZ4,2023-11-01,SMS_MO,GBRME,EE Limited,United Kingdom,ROW,,,GBP,0.0052095000,,,,,,event
TELZ4,2023-11-01,SMS_MO,GBROR,EE Limited,United Kingdom,ROW,,,GBP,0.0052095000,,,,,,event
TELZ4,2023-11-01,SMS_MO,GBRVF,Vodafone UK Ltd.,United Kingdom,ROW,,,GBP,0.0014950000,,,,,,event
TELZ4,2023-11-01,SMS_MT,GBRCN,Virgin Media O2,United Kingdom,,,,GBP,0.0000000000,,,,,,event
TELZ4,2023-11-01,SMS_MT,GBRHU,Hutchison 3G UK Ltd,United Kingdom,,,,GBP,0.0000000000,,,,,,event
TELZ4,2023-11-01,SMS_MT,GBRME,EE Limited,United Kingdom,,,,GBP,0.0000000000,,,,,,event
TELZ4,2023-11-01,SMS_MT,GBROR,EE Limited,United Kingdom,,,,GBP,0.0000000000,,,,,,event
TELZ4,2023-11-01,SMS_MT,GBRVF,Vodafone UK Ltd.,United Kingdom,,,,GBP,0.0000000000,,,,,,event
TELZ4,2023-11-01,VOICE_MO,AAMOM,Monaco Telecom Maritimes services,Maritime,,"44",United Kingdom,GBP,0.4999219050,60,60,seconds,2.4996096400000000,2.4996096400000000,minutes
TELZ4,2023-11-01,VOICE_MO,ABWDC,New Millennium Telecom Services NV,Aruba,,"44","United Kingdom - United Kingdom, Calls to other PMNs [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR]",GBP,,1,1,seconds,0.22537987500000000000,0.22537987500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,AFGEA,Etisalat - Afghanistan,Afghanistan,,"44",United Kingdom,GBP,,60,60,seconds,2.2537983360000000,2.2537983360000000,minutes
TELZ4,2023-11-01,VOICE_MO,AIACW,Cable & Wireless (Anguilla) Ltd.,Anguilla,,"44",United Kingdom - UNITED KINGDOM (447781*),GBP,,1,1,seconds,0.30144555210000000000,0.30144555210000000000,minutes
TELZ4,2023-11-01,VOICE_MO,ALBVF,Vodafone Albania,Albania,,"44",United Kingdom - UNITED KINGDOM (447781*),GBP,,1,1,seconds,0.02329509000000000000,0.02329509000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,ANDMA,Andorra Telecom S.A.U.,Andorra,,"44",United Kingdom - Jersey [CFLCT: GBR],GBP,,60,60,seconds,0.89985947500000000000,0.89985947500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,ANTCT,Cura�ao Telecom N.V.,Caribbean Netherlands,,"44","United Kingdom - United Kingdom, Calls to other PMNs [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR] [+GBR]",GBP,,1,1,seconds,0.23664886870000000000,0.23664886870000000000,minutes
TELZ4,2023-11-01,VOICE_MO,AREDU,Emirates Integrated TelecommunicationsCompany PJSC,United Arab Emirates,,"44",United Kingdom - UNITED KINGDOM (447781*),GBP,,60,60,seconds,0.55075869000000000000,0.55075869000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,ARETC,Emirates Telecom Corp-ETISALAT,United Arab Emirates,,"44",United Kingdom,GBP,1.2778622900,59,60,seconds,3.1946558400000000,3.1946558400000000,minutes
TELZ4,2023-11-01,VOICE_MO,ARGCM,AMX Argentina S.A. (Claro),Argentina,,"44",United Kingdom,GBP,,60,60,seconds,1.57765878000000000000,1.57765878000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,ARM05,MTS Armenia CJSC,Armenia,,"44",United Kingdom,GBP,,60,60,seconds,2.2537982900000000,2.2537982900000000,minutes
TELZ4,2023-11-01,VOICE_MO,ATG03,Antigua Public Utilities Authority Ltd (APUA),Antigua & Barbuda,,"44",United Kingdom,GBP,,60,60,seconds,0.92864869000000000000,0.92864869000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,ATGCW,Cable & Wireless Antigua & Barbuda Ltd.,Antigua & Barbuda,,"44",United Kingdom - UNITED KINGDOM (447781*),GBP,,1,1,seconds,0.28172481500000000000,0.28172481500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,AUSOP,SingTel Optus Pty Limited,Australia,,"44",United Kingdom,GBP,,1,1,seconds,0.08537554000000000000,0.08537554000000000000,minutes
TELZ4,2023-11-01,VOICE_MO,AUSTA,Telstra Corporation Ltd.,Australia,,"44",United Kingdom,GBP,,1,1,seconds,0.12067214500000000000,0.12067214500000000000,minutes
TELZ4,2023-11-01,VOICE_MO,AUSVF,TPG Telecom Limited,Australia,,"44",United Kingdom,GBP,,1,1,seconds,0.21117622500000000000,0.21117622500000000000,minutes
